stockCode,stockName,stockInfo,stockDate,stockIndex,stockK,stockD,amount
----------,----------,----------,----------,----------,----------,----------,----------
1102,亞泥,水泥及熟料100.00% (2016年),2018-01-30,29.75,19.8667,35.8576,,https://tw.stock.yahoo.com/q/ta?s=1102&tech_submit=%ACd+%B8%DF
1102,亞泥,水泥及熟料100.00% (2016年),2018-01-29,30.15,29.8001,43.8531,156344.0
1102,亞泥,水泥及熟料100.00% (2016年),2018-01-26,30.3,36.3668,50.8797,1774000.0
1102,亞泥,水泥及熟料100.00% (2016年),2018-01-25,30.2,37.8835,58.1361,1967144.0
1102,亞泥,水泥及熟料100.00% (2016年),2018-01-24,30.0,45.7141,68.2625,732466.0
1102,亞泥,水泥及熟料100.00% (2016年),2018-01-23,30.2,68.5711,79.5367,776600.0
1102,亞泥,水泥及熟料100.00% (2016年),2018-01-22,30.25,76.19,85.0194,1125000.0
1102,亞泥,水泥及熟料100.00% (2016年),2018-01-19,30.5,85.9517,89.4341,1294200.0
1102,亞泥,水泥及熟料100.00% (2016年),2018-01-18,30.75,92.2609,91.1753,1201198.0
1102,亞泥,水泥及熟料100.00% (2016年),2018-01-17,30.9,93.3914,90.6325,3736476.0
1102,亞泥,水泥及熟料100.00% (2016年),2018-01-16,30.45,90.0871,89.253,1626296.0
1102,亞泥,水泥及熟料100.00% (2016年),2018-01-15,30.4,86.4464,88.836,2207000.0
1102,亞泥,水泥及熟料100.00% (2016年),2018-01-12,30.0,82.0506,90.0308,
1102,亞泥,水泥及熟料100.00% (2016年),2018-01-11,29.4,83.9455,94.0209,
1102,亞泥,水泥及熟料100.00% (2016年),2001-11-01(LOWEST),8.85,1.35668,3.28052
1102,亞泥,水泥及熟料100.00% (2016年),1999-01-05 上市

1468,昶和,成衣布90.04%、其他9.96% (2016年),2018-01-30,10.1,5.99775,12.9382,,https://tw.stock.yahoo.com/q/ta?s=1468&tech_submit=%ACd+%B8%DF
1468,昶和,成衣布90.04%、其他9.96% (2016年),2018-01-29,10.15,8.99663,16.4084,
1468,昶和,成衣布90.04%、其他9.96% (2016年),2018-01-26,10.1,10.7172,20.1143,2000.0
