上櫃股票行情(含等價、零股、盤後、鉅額交易)
資料日期:107/08/17
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後賣價,發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
"006201","元大富櫃50","13.14","-0.02 ","13.31","13.32","13.14","13.25","45,000","596,080","26","13.13","13.14","15,946,000","13.14","14.45","11.83"
"00679B","元大美債20年","38.40","-0.07 ","38.47","38.49","38.40","38.45","359,000","13,803,720","36","38.38","38.44","829,692,000","38.40","9999.95","0.01"
"00687B","國泰20年美債","39.66","-0.02 ","39.67","39.71","39.65","39.66","212,000","8,407,960","6","39.66","39.69","317,287,000","39.66","9999.95","0.01"
"00694B","富邦美債1-3","40.56","-0.13 ","40.55","40.57","40.55","40.56","601,000","24,375,550","8","40.54","40.60","42,076,000","40.56","9999.95","0.01"
"00695B","富邦美債7-10","39.46","-0.13 ","39.58","39.58","39.45","39.46","304,975","12,034,578","18","39.45","39.52","115,686,000","39.46","9999.95","0.01"
"00696B","富邦美債20年","40.20","-0.12 ","40.20","40.20","40.20","40.20","300,000","12,060,000","4","40.12","40.25","256,181,000","40.20","9999.95","0.01"
"00697B","元大美債7-10","38.84","-0.06 ","38.87","38.87","38.84","38.86","300,000","11,656,500","4","38.80","38.87","5,712,000","38.84","9999.95","0.01"
"00718B","富邦中國政策債","20.34","+0.04","20.30","20.34","20.27","20.34","238,049","4,841,006","10","20.28","20.34","830,501,000","20.34","9999.95","0.01"
"00719B","元大美債1-3","31.64","-0.05 ","31.67","31.67","31.64","31.66","401,000","12,693,660","5","31.58","31.67","3,514,000","31.64","9999.95","0.01"
"00720B","元大投資級公司債","39.50","+0.16","39.42","39.50","39.42","39.49","404,000","15,955,800","8","39.50","39.52","159,609,000","39.50","9999.95","0.01"
"00721B","元大中國債3-5","46.03","-0.10 ","46.10","46.10","46.03","46.04","404,000","18,598,190","6","46.01","46.06","195,622,000","46.03","9999.95","0.01"
"00722B","群益15年IG電信債","40.26","+0.17","40.12","40.28","40.10","40.24","223,000","8,974,240","20","40.10","40.27","101,239,000","40.26","9999.95","0.01"
"00723B","群益15年IG科技債","38.96","+0.03","38.97","38.97","38.95","39.06","8,201,000","320,309,970","6","38.74","38.98","469,583,000","38.96","9999.95","0.01"
"00724B","群益10年IG金融債","37.99","-0.11 ","37.98","37.99","37.98","37.99","200,000","7,597,000","4","37.80","38.01","597,275,000","37.99","9999.95","0.01"
"00725B","國泰投資級公司債","40.28","+0.01","40.39","40.39","40.28","40.31","21,000","846,500","11","40.27","40.35","110,706,000","40.28","9999.95","0.01"
"00726B","國泰5Y+新興債","40.80","-0.12 ","40.92","40.92","40.80","40.86","9,000","367,780","9","40.78","40.92","3,989,000","40.80","9999.95","0.01"
"00727B","國泰1-5Y高收債","43.35","-0.06 ","43.35","43.35","43.35","43.35","1,000","43,350","1","43.22","43.38","27,689,000","43.35","9999.95","0.01"
"00734B","台新JPM新興債","20.56","+0.02","20.51","20.56","20.50","20.53","1,015,000","20,836,590","19","20.55","20.57","41,479,000","20.56","9999.95","0.01"
"00740B","富邦全球投等債","41.20","-0.27 ","41.30","41.30","41.20","41.25","320,000","13,200,000","7","41.13","41.49","5,971,000","41.20","9999.95","0.01"
"00741B","富邦全球高收債","41.00","-0.19 ","41.05","41.05","41.00","41.03","240,000","9,846,000","7","40.88","41.23","5,628,000","41.00","9999.95","0.01"
"00744B","國泰中國政金債5+","40.05","-0.07 ","40.05","40.05","40.05","40.05","1,000","40,050","1","39.91","40.02","89,228,000","40.05","9999.95","0.01"
"00745B","富邦中政債0-1","39.77","+0.08","39.70","39.77","39.70","39.71","102,000","4,050,470","8","39.67","39.77","8,516,000","39.77","9999.95","0.01"
"00746B","富邦A級公司債","40.01","-0.09 ","40.00","40.01","40.00","40.01","100,000","4,000,500","7","39.83","40.09","5,464,000","40.01","9999.95","0.01"
"1240","茂生農經","44.90","-1.45 ","46.50","46.50","44.85","45.28","99,220","4,492,716","83","44.90","45.00","33,000,000","44.90","49.35","40.45"
"1258","其祥-KY","27.50","0.00 ","27.65","27.65","27.50","27.61","4,000","110,450","4","27.30","27.80","36,816,458","27.50","30.25","24.75"
"1259","安心","77.00","0.00 ","77.50","77.50","77.00","77.02","35,005","2,696,187","12","77.00","77.70","32,389,500","77.00","84.70","69.30"
"1264","德麥","204.00","0.00 ","203.50","204.50","203.50","204.43","8,624","1,763,044","36","204.00","205.00","33,695,970","204.00","224.00","184.00"
"1268","漢來美食","136.00","+1.00","134.50","136.00","134.50","135.89","552,314","75,054,713","70","135.00","136.00","39,273,730","136.00","149.50","122.50"
"1333","恩得利","2.42","-0.08 ","2.50","2.50","2.42","2.49","14,615","36,343","11","2.42","2.50","74,515,375","2.42","2.66","2.18"
"1336","台翰","17.85","-0.05 ","17.80","17.90","17.70","18.26","1,332,000","24,315,900","39","17.80","17.90","83,193,419","17.85","19.60","16.10"
"1565","精華","651.00","-20.00 ","680.00","695.00","651.00","679.53","509,572","346,267,372","546","651.00","657.00","50,416,516","651.00","716.00","586.00"
"1566","捷邦","17.00","0.00 ","17.00","17.10","17.00","17.03","33,019","562,242","29","17.00","17.05","86,467,028","17.00","18.70","15.30"
"1569","濱川","19.35","-0.05 ","19.60","19.90","19.35","19.64","161,007","3,162,798","115","19.30","19.35","112,713,264","19.35","21.25","17.45"
"1570","力肯","12.80","0.00 ","12.80","12.80","12.75","12.78","7,000","89,450","6","12.80","12.90","51,500,839","12.80","14.05","11.55"
"1580","新麥","142.00","-1.00 ","142.50","142.50","142.00","142.15","72,270","10,273,150","53","142.00","143.00","50,230,242","142.00","156.00","128.00"
"1584","精剛","7.61","+0.03","7.64","7.65","7.37","7.44","247,200","1,839,581","106","7.38","7.61","82,470,533","7.61","8.37","6.85"
"1586","和勤","38.80","+0.30","39.00","39.20","38.50","38.88","190,000","7,388,050","84","38.65","38.80","76,488,857","38.80","42.65","34.95"
"1591","駿吉-KY","34.95","+0.10","35.10","35.10","34.45","34.72","15,000","520,800","15","34.45","34.95","33,164,807","34.95","38.40","31.50"
"1593","祺驊","44.00","+0.50","44.00","44.20","44.00","44.08","20,000","881,550","14","44.00","44.20","31,948,455","44.00","48.40","39.60"
"1595","川寶","50.50","-0.20 ","52.00","52.00","50.50","50.91","9,245","470,640","10","50.50","50.90","47,148,134","50.50","55.50","45.45"
"1597","直得","126.50","+1.50","127.00","133.50","126.50","130.48","5,411,350","706,083,119","4,362","126.00","126.50","73,806,862","126.50","139.00","114.00"
"1599","宏佳騰","34.30","+0.20","34.10","34.60","34.10","34.30","29,280","1,004,447","26","34.25","34.50","62,002,519","34.30","37.70","30.90"
"1742","台蠟","21.65","+0.65","21.00","22.90","21.00","21.79","397,378","8,657,138","215","21.45","21.65","55,050,000","21.65","23.80","19.50"
"1752","南光","34.70","0.00 ","34.70","34.80","34.65","34.72","99,199","3,444,595","70","34.70","34.75","100,988,472","34.70","38.15","31.25"
"1777","生泰","79.00","+0.20","78.30","79.20","78.10","78.74","18,000","1,417,400","17","78.60","79.00","30,059,550","79.00","86.90","71.10"
