id,word
1,angry
2,annoyed
3,anxious
4,arrogant
5,ashamed
6,awful
7,bad
8,bewildered
9,black
10,blue
11,bored
12,clumsy
13,combative
14,condemned
15,confused
16,crazy
17,creepy
18,cruel
19,dangerous
20,defeated
21,defiant
22,depressed
23,disgusted
24,disturbed
25,dizzy
26,dull
27,embarrassed
28,envious
29,evil
30,fierce
31,flipped
32,foolish
33,frantic
34,frightened
35,grieving
36,grumpy
37,helpless
38,homeless
39,hungry
40,hurt
41,ill
42,itchy
43,jealous
44,jittery
45,lazy
46,lonely
47,mysterious
48,nasty
49,naughty
50,nervous
51,nutty
52,obnoxious
53,out
54,outrageous
55,panicky
56,repulsive
57,scary
58,selfish
59,sore
60,tense
61,terrible
62,testy
63,thoughtless
64,tired
65,troubled
66,upset
67,uptight
68,weary
69,wicked
70,worried
71,worse
72,worst
